id,lat,long
133091808,23.559404,87.2853
133091808,23.559412,87.2908
133091808,23.559500,87.2844
133091808,23.559517,87.2909
133091809,23.559522,87.2908
133091809,23.559523,87.2909
133091809,23.559537,87.2845
133091809,23.559542,87.2910
133091809,23.559560,87.2910
133091809,23.559566,87.2907
133091809,23.559592,87.2976
133091809,23.559592,87.2858
133091809,23.559594,87.2910
133091809,23.559608,87.2907
133091810,23.559611,87.2929
133091810,23.559622,87.2906
133091810,23.559622,87.2911
133091810,23.559654,87.2901
133091810,23.559655,87.2861
133091810,23.559656,87.2907
133091810,23.559666,87.2910
133091810,23.559669,87.2916
133091810,23.559681,87.2865
133091810,23.559685,87.2907
133091811,23.559723,87.2907
133091811,23.559723,87.2905
133091811,23.559726,87.2911
133091811,23.559732,87.2910
133091811,23.559761,87.2907
133091811,23.559775,87.2910
133091811,23.559788,87.2907
133091811,23.559801,87.2910
133091811,23.559818,87.2908
133091811,23.559821,87.2909
133091812,23.559783,87.2844
133091812,23.559827,87.2909
133091812,23.559855,87.2910
133091812,23.559900,87.2908
133091812,23.559908,87.2909
133091812,23.559914,87.2986
133091812,23.559915,87.2987
133091813,23.560274,87.2909
133091813,23.560425,87.2770
133091813,23.560574,87.2771
133091813,23.560849,87.2987
133091813,23.560853,87.2986
133091814,23.561112,87.2986
133091814,23.561124,87.2987
133091815,23.561141,87.2772
133091815,23.561267,87.2987
133091816,23.561269,87.2986
133091816,23.561276,87.2987
133091816,23.561286,87.2986
133091816,23.561303,87.2988
133091816,23.561341,87.2985
133091816,23.561356,87.2988
133091816,23.561358,87.2945
133091816,23.561363,87.2948
133091816,23.561366,87.2950
133091817,23.561371,87.2942
133091817,23.561384,87.2971
133091817,23.561384,87.2983
133091817,23.561403,87.2981
133091817,23.561405,87.2940
133091817,23.561413,87.2985
133091817,23.561423,87.2988
133091817,23.561455,87.2773
133091817,23.561458,87.2966
133091818,23.561464,87.2971
133091818,23.561479,87.2985
133091818,23.561481,87.2981
133091818,23.561495,87.2983
133091818,23.561503,87.2988
133091818,23.561517,87.2984
133091818,23.561534,87.2935
133091819,23.561554,87.2985
133091819,23.561558,87.2988
133091819,23.561594,87.2986
133091819,23.561596,87.2987
133091819,23.561607,87.2774
133091819,23.561613,87.2986
133091819,23.561613,87.2987
133091820,23.561759,87.2775
133091820,23.561763,87.2986
133091820,23.561799,87.2987
133091820,23.561853,87.2924
133091820,23.561887,87.2777
133091820,23.562033,87.2948
133091820,23.562037,87.2831
133091821,23.562053,87.2915
133091821,23.562155,87.2909
133091821,23.562263,87.2948
133091821,23.562431,87.2895
133091821,23.562453,87.2986
133091821,23.562453,87.2987
133091822,23.562642,87.2909
133091823,23.562784,87.2987
133091823,23.562818,87.2795
133091823,23.562834,87.2880
133091824,23.563095,87.2910
133091824,23.563177,87.2951
133091824,23.563448,87.2951
133091824,23.563514,87.2855
133091824,23.563523,87.2807
133091824,23.563611,87.2910
133091825,23.563785,87.2965
133091825,23.564012,87.2910
133091825,23.564015,87.2838
133091825,23.564245,87.2818
133091826,23.564463,87.2822
133091826,23.564523,87.2910
133091826,23.564736,87.2933
133091826,23.564754,87.2929
133091827,23.564783,87.2951
133091827,23.564815,87.2965
133091827,23.564836,87.2909
133091827,23.564844,87.2978
133091827,23.564860,87.2987
133091827,23.564870,87.2828
133091827,23.564902,87.2923
133091827,23.564925,87.2915
133091827,23.564930,87.2919
133091827,23.565026,87.2951
133091828,23.565318,87.2836
133091828,23.565349,87.2908
133091828,23.565376,87.2838
133091828,23.565383,87.2950
133091828,23.565437,87.2838
133091828,23.565571,87.2908
133091828,23.565608,87.2842
133091829,23.565609,87.2843
133091829,23.565629,87.2902
133091829,23.565641,87.2842
133091829,23.565642,87.2894
133091829,23.565642,87.2900
133091829,23.565654,87.2844
133091829,23.565669,87.2842
133091829,23.565672,87.2873
133091829,23.565675,87.2837
133091829,23.565677,87.2868
133091830,23.565700,87.2848
133091830,23.565704,87.2903
133091830,23.565705,87.2842
133091830,23.565711,87.2844
