id,type
11864263,living_street
11864263,residential
11864264,residential
11864264,living_street
11864265,living_street
11864265,residential
11864265,living_street
11864265,residential
11864266,residential
11864266,living_street
11864266,residential
11864266,living_street
11864266,residential
11864267,residential
11864267,living_street
11864267,residential
11864267,living_street
11864267,residential
11864268,residential
11864269,residential
11864270,residential
11864272,residential
11864637,residential
11864640,residential
11864640,service
11864644,service
11864644,primary
11864645,primary
11864646,primary
11864646,service
11864648,service
11864982,service
11864982,residential
11864982,service
11864982,tertiary
11864983,tertiary
11864983,service
11864983,tertiary
11864983,service
11864983,tertiary
11864984,tertiary
11864984,service
11864984,tertiary
11864984,residential
11864984,service
11864984,tertiary
11864984,residential
11864985,residential
11864985,service
11864985,tertiary
11864986,tertiary
11865343,tertiary
11865344,tertiary
11865344,residential
11865345,residential
11865345,tertiary
11865345,residential
11865346,residential
11865346,tertiary
11865346,residential
11865346,tertiary
11865346,residential
11865347,residential
11865347,tertiary
11865347,residential
11865348,residential
11865348,tertiary
11865349,tertiary
11865349,residential
11865349,primary
11865349,tertiary
11865349,residential
11865350,residential
11865350,tertiary
11865351,tertiary
11865351,residential
11865351,tertiary
11865352,tertiary
11865352,residential
11865352,tertiary
11865352,residential
11865353,residential
11865354,residential
11865354,tertiary
11865354,residential
11865354,tertiary
11865354,residential
11865354,tertiary
11865355,tertiary
11872508,tertiary
11872508,residential
11872509,residential
11872509,living_street
11872509,residential
11872509,living_street
11872510,living_street
11872511,living_street
11872511,residential
11872511,living_street
11872511,residential
11872512,residential
11872512,living_street
11872513,living_street
11872513,residential
11872513,living_street
11872513,service
11872513,living_street
11872514,living_street
11872514,service
11872514,living_street
11872514,service
11872515,service
11872515,living_street
11872515,service
11872515,living_street
11872516,living_street
11872516,service
11872516,living_street
11872516,service
11872516,living_street
11872517,living_street
11872517,residential
11872517,service
11872517,living_street
11872517,service
11872517,living_street
11872518,living_street
11872518,residential
11872519,residential
11874620,residential
11874620,living_street
11874621,living_street
11874623,living_street
11874624,living_street
11874625,living_street
11874626,living_street
11874627,living_street
11874628,living_street
11874629,living_street
11874629,residential
11874630,residential
11874630,living_street
11874631,living_street
11874631,residential
11874632,residential
11874632,living_street
11874633,living_street
11874634,living_street
11874634,residential
23473668,residential
23473668,unclassified
24959492,unclassified
24973556,unclassified
25074897,unclassified
25074897,residential
28642371,residential
28642372,residential
28643218,residential
28643313,residential
28643391,residential
28643392,residential
28643427,residential
